XB,XC,XD,XE,XF,XG,XH,XI,XJ,XK,XL,XM,XN,XO,XP,XQ,XR,XS,XT,XU,Class
1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1
0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0
1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1
0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0
0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1
0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0
0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1
1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0
1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0
0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1
1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0
0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,1
0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0
0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1
0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0
0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1
0,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0
0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1
0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0
0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1
0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0
0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1
0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0
0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1
0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0
0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1
1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1
1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0
1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,1
1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0
0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1
0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0
1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1
1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0
1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1
1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0
1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1
0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0
1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1
1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0
1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1
0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0
0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1
0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0
