Game_number,Result,Avg_team_Age,Match_light_type,Match_format,Bowlers_in_team,Wicket_keeper_in_team,All_rounder_in_team,First_selection,Opponent,Season,Audience_number,Offshore,Max_run_scored_1over,Max_wicket_taken_1over,Extra_bowls_bowled,Min_run_given_1over,Min_run_scored_1over,Max_run_given_1over,extra_bowls_opponent,player_highest_run,Players_scored_zero,player_highest_wicket
Game_1,Loss,18,Day,ODI,3,1,3,Bowling,Srilanka,Summer,9940,No,13,3,0,2,3,6,0,54,3,1
Game_2,Win,24,Day,T20,3,1,4,Batting,Zimbabwe,Summer,8400,No,12,1,0,0,3,6,0,69,2,1
Game_3,Loss,24,Day and Night,T20,3,1,2,Bowling,Zimbabwe,,13146,Yes,14,4,0,0,3,6,0,69,3,1
Game_4,Win,24,,ODI,2,1,2,Bowling,Kenya,Summer,7357,No,15,4,0,2,3,6,0,73,3,1
Game_5,Loss,24,Night,ODI,1,1,3,Bowling,Srilanka,Summer,13328,No,12,4,0,0,3,6,0,80,3,1
Game_6,Win,24,Night,ODI,3,1,4,Batting,Srilanka,Summer,11277,No,15,3,0,5,4,6,0,97,3,1
Game_7,Loss,24,Day and Night,T20,2,1,2,Batting,Zimbabwe,Summer,10983,Yes,12,3,0,0,4,6,0,70,3,1
Game_8,Win,24,Night,ODI,3,1,2,Batting,Kenya,Summer,10598,No,16,3,0,4,1,6,0,33,3,1
Game_9,Loss,24,Day,ODI,3,1,3,Bowling,Srilanka,Summer,9940,No,13,3,0,2,3,6,0,54,3,1
Game_10,Win,24,Day,T20,3,1,4,Batting,Zimbabwe,Summer,8400,No,12,1,0,0,3,6,0,69,2,1
Game_11,Loss,24,Day and Night,T20,3,1,2,Bowling,Zimbabwe,Summer,13146,Yes,14,4,0,0,3,6,0,69,3,1
Game_12,Win,24,Night,ODI,2,1,2,Bowling,Kenya,Summer,7357,No,15,4,0,2,3,6,0,73,3,1
Game_13,Loss,24,Night,ODI,1,1,3,Bowling,Srilanka,Summer,13328,No,12,4,0,0,3,6,0,80,3,1
Game_14,Win,24,Night,ODI,3,1,4,Batting,Srilanka,Summer,11277,No,15,3,0,5,4,6,0,97,3,1
Game_15,Loss,24,Day and Night,T20,2,1,2,Batting,Zimbabwe,Summer,10983,Yes,12,3,0,0,4,6,0,70,3,1
Game_16,Win,24,Night,ODI,3,1,2,Batting,Kenya,Summer,10598,No,16,3,0,4,1,6,0,33,3,1
Game_17,Loss,24,Day,T20,1,1,4,Bowling,Zimbabwe,Summer,11725,Yes,19,4,0,0,2,6,0,50,3,1
Game_18,Win,24,Day,ODI,1,1,2,Batting,Srilanka,Summer,10381,No,14,4,1,3,3,6,0,79,3,1
Game_19,Loss,24,Day and Night,T20,1,1,3,Batting,Zimbabwe,Summer,16275,No,21,1,1,0,4,6,0,100,1,1
Game_20,Loss,24,Day,ODI,3,1,2,Bowling,Srilanka,Summer,7714,No,22,3,1,3,2,6,0,47,2,1
